Fecha,Agente,Asset_Category,Moneda,Volumen_USD,Gastos_USD,TC_Aplicado,Fondo
2025-11-04,WIN Securities,Renta Variable,ARS,69387.00044573001,125.93740546512102,1454.0000194836,RETORNO TOTAL
2025-11-04,WIN Securities,Renta Variable,ARS,68428.47226050001,124.19768059159702,1454.0000194836,RETORNO TOTAL
2025-11-04,WIN Securities,Renta Variable,ARS,69152.33745025001,125.51149075280901,1454.0000194836,RETORNO TOTAL
2025-11-04,WIN Securities,Renta Variable,ARS,67600.06786995001,122.69412490335402,1454.0000194836,RETORNO TOTAL
2025-11-04,WIN Securities,Renta Variable,ARS,315753.1523713837,573.1748547678751,1454.0000194836,RMIXTA
2025-11-04,WIN Securities,Renta Variable,ARS,308476.61209750007,559.8850543957521,1454.0000194836,RMIXTA
2025-11-04,WIN Securities,Renta Variable,ARS,310729.0192200001,563.9731698843001,1454.0000194836,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,221632.17418194856,402.2623995536643,1414.999961795,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,367522.53995844425,667.0534102365905,1414.999961795,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,213373.15911796576,387.2722790075883,1414.999961795,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,140751.0426695361,255.46314470669222,1414.999961795,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,176288.12843469114,319.9629627026043,1414.999961795,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,420000.6509159893,762.3011866598705,1414.999961795,RMIXTA
2025-11-07,WIN Securities,Renta Variable,ARS,210129.85373004316,381.3856922762123,1414.999961795,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,13025.423394090229,23.641140351465417,1447.4999721356,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,137980.65896010242,250.43489946681743,1447.4999721356,RETORNO TOTAL
2025-11-25,WIN Securities,Renta Variable,ARS,53108.80931250093,96.3924923564207,1447.4999721356,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,116820.38221425205,212.02899199175175,1447.4999721356,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,55061.48016183427,99.93658914312475,1447.4999721356,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,221174.34622652188,152.7267732336027,1447.4999721356,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,116583.76735650205,211.59954120628274,1447.4999721356,RMIXTA
2025-11-25,WIN Securities,Renta Variable,ARS,58307.427720001026,105.82798131180186,1447.4999721356,RMIXTA
2026-01-13,Aldazabal,Renta Variable,ARS,12392.51890662,26.99090604135,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,2199.1544326224002,4.789759792824,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,4323.675371571,9.416973257154002,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,10478.922470622001,22.823095460850002,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,3889.711746558,8.471798237538,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,10984.45438683,23.924138703246,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,3118.1606189514177,6.791352111,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,589.2244353,1.283328761058,1456.9999962118,RETORNO TOTAL
2026-01-13,Aldazabal,Renta Variable,ARS,50.7124229184,0.11045298587400001,1456.9999962118,RETORNO TOTAL
2026-01-27,WIN Securities,Renta Variable,ARS,138609.9650953851,251.57709488035965,1442.5000025244,RMIXTA
2026-02-04,WIN Securities,Renta Variable,ARS,172006.88552184362,312.19249651057453,1447.4999721356,RMIXTA
2026-02-04,WIN Securities,Renta Variable,ARS,131923.5472718276,239.44124122410122,1447.4999721356,RMIXTA
2026-02-04,WIN Securities,Renta Variable,ARS,271914.72198738554,493.5252184813707,1447.4999721356,RMIXTA
2026-02-04,WIN Securities,Renta Variable,ARS,170049.910009215,308.6405862522174,1447.4999721356,RMIXTA
2026-02-04,WIN Securities,Renta Variable,ARS,841420.4928812968,1527.178191747084,1447.4999721356,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,98816.99371033012,179.35284254402723,1441.9999501068,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,68307.90805000009,123.97885311075015,1441.9999501068,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,78900.83490750009,143.20501882451916,1441.9999501068,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,96636.61915500011,175.3954637663252,1441.9999501068,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,68911.24024840658,125.07390169232815,1441.9999501068,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,68504.85673920008,124.33631498164814,1441.9999501068,RMIXTA
2026-02-05,WIN Securities,Renta Variable,ARS,133984.05456650016,243.1810625056043,1441.9999501068,RMIXTA
2026-02-12,WIN Securities,Renta Variable,ARS,214954.6947281612,390.1427717559854,1394.9999574525,RMIXTA
2026-03-11,WIN Securities,Renta Variable,ARS,26789.555184029985,48.61952153534005,1395.9999575616,RVARIABLE
